101,Somogyi Nikolett,4837,m,5.65,1.75,0,Papp Klementina,4838,m,5.17,3.77,0,Juhasz Edina,4839,m,6.98,2.38,10,Nemet Abel,4840,v,7.00,1.24,11,N
102,Balogh Donat,4841,u,2.54,3.32,0,Kovach Marta,4842,m,4.72,2.32,0,Szabo Gyula,4843,m,7.60,3.92,13,Molnar Szervac,4844,m,7.37,4.30,0,N
103,Horvath Mihaly,4845,m,3.87,2.38,0,Kovats Leonora,4846,v,6.86,2.22,0,Gal Jolan,4847,m,6.78,3.28,0,Balogh Virgil,4848,m,7.62,2.63,0,N
104,Gyori Eszter,4849,m,6.97,3.75,0,Molnar Virgil,4850,u,3.56,2.33,14,Deak Sarolta,4851,m,7.25,1.82,0,Papp Rezso,4852,m,4.77,2.64,0,N
105,Hajdu Olimpia,4853,u,6.70,3.23,0,Molnar Arnold,4854,v,4.62,3.35,0,Sipos Gerzson,4855,v,2.82,2.27,0,Rozsa Reka,4856,v,7.99,4.23,0,N
106,Lengyel Reka,4857,u,2.66,2.79,0,Kiss Franciska,4858,m,6.97,3.71,0,Molnar Alida,4859,m,2.62,3.91,0,Papp Mate,4860,m,5.77,2.62,0,N
107,Nemeth Teofil,4861,m,6.51,4.93,0,Vegh Mihaly,4862,u,3.00,2.09,0,Boros Zoltan,4863,v,3.16,3.20,0,Molnar Klaudia,4864,v,6.94,4.80,0,N
108,Szekely Boglarka,4865,m,8.08,3.02,0,Balogh Eufrozina,4866,m,4.72,2.51,0,Kozma Benedek,4867,v,2.85,4.61,0,Somogyi Karina,4868,m,4.63,2.61,0,N
109,Pataki Zsaklin,4869,m,2.30,1.50,0,Magyar Abel,4870,m,6.91,1.84,0,Fodor Dora,4871,m,2.57,3.26,0,Kovach Katalin,4872,v,8.35,1.98,0,N
110,Szilagyi Andor,4873,v,4.75,3.03,0,Lakatos Bertalan,4874,m,2.88,2.15,6,Balogh Gedeon,4875,v,4.69,1.41,0,Szilagyi Bank,4876,v,2.71,1.47,0,N
111,Balazs Adalbert,4877,m,2.65,2.11,0,Balogh Andrea,4878,m,5.14,4.86,0,Olah Veronika,4879,m,6.59,3.37,0,Szilagyi Melitta,4880,m,3.03,4.86,0,N
